,Movie Name,Year of Release,Rating,Genre,Runtime,No. of Voters,Director and Cast
124,Raazi,-2018,7.7,"Action, Drama, Thriller",138 min,"32,225","    Director:Meghna Gulzar|     Stars:Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma"
125,Bhool Bhulaiyaa 2,-2022,5.7,"Comedy, Drama, Horror",143 min,"31,954","    Director:Anees Bazmee|     Stars:Tabu, Kartik Aaryan, Kiara Advani, Rajpal Naurang Yadav"
126,Bharat,-2019,4.7,"Action, Comedy, Drama",150 min,"31,659","    Director:Ali Abbas Zafar|     Stars:Salman Khan, Katrina Kaif, Sunil Grover, Tabu"
127,Udta Punjab,-2016,7.7,"Action, Crime, Drama",148 min,"31,374","    Director:Abhishek Chaubey|     Stars:Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh"
128,Mohabbatein,-2000,7,"Drama, Musical, Romance",216 min,"31,355","    Director:Aditya Chopra|     Stars:Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj"
129,Dev.D,-2009,7.9,"Comedy, Drama, Romance",144 min,"31,335","    Director:Anurag Kashyap|     Stars:Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya"
130,Freddy,-2022,7.5,"Drama, Mystery, Romance",124 min,"31,102","    Director:Shashanka Ghosh|     Stars:Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
131,Aashiqui 2,-2013,7,"Drama, Music, Musical",132 min,"30,995","    Director:Mohit Suri|     Stars:Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya"
132,Tiger Zinda Hai,-2017,5.9,"Action, Adventure, Thriller",161 min,"30,961","    Directors:Mehmet Tutkun, Ali Abbas Zafar, Musa Muhammed Olayinka|     Stars:Salman Khan, Katrina Kaif, Paresh Rawal, Anupriya Goenka"
133,Hindi Medium,-2017,7.8,"Comedy, Drama",132 min,"30,424","    Director:Saket Chaudhary|     Stars:Irrfan Khan, Saba Qamar, Dishita Sehgal, Deepak Dobriyal"
134,Major,-2022,8.1,"Action, Biography, Drama",150 min,"30,364","    Director:Sashi Kiran Tikka|     Stars:Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar"
135,Bhool Bhulaiyaa,-2007,7.4,"Comedy, Horror, Mystery",159 min,"30,117","    Director:Priyadarshan|     Stars:Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel"
136,Dil Se..,-1998,7.5,"Drama, Romance",144 min,"29,838","    Director:Mani Ratnam|     Stars:Shah Rukh Khan, Manisha Koirala, Preity G Zinta, Raghuvir Yadav"
137,Shehzada,-2023,4.6,"Action, Comedy, Drama",142 min,"29,637","    Director:Rohit Dhawan|     Stars:Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala"
138,Highway,(I) (2014),7.6,"Crime, Drama, Romance",133 min,"29,566","    Director:Imtiaz Ali|     Stars:Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar"
139,Badla,-2019,7.8,"Crime, Drama, Mystery",118 min,"29,333","    Director:Sujoy Ghosh|     Stars:Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel"
140,War,-2019,6.5,"Action, Adventure, Thriller",154 min,"29,316","    Director:Siddharth Anand|     Stars:Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana"
141,Tamasha,-2015,7.3,"Comedy, Drama, Romance",139 min,"29,307","    Director:Imtiaz Ali|     Stars:Deepika Padukone, Ranbir Kapoor, Arushi Sharma, Ishwak Singh"
142,Masaan,-2015,8.1,Drama,109 min,"29,239","    Director:Neeraj Ghaywan|     Stars:Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi"
143,Tanu Weds Manu Returns,-2015,7.6,"Comedy, Drama, Romance",128 min,"29,236","    Director:Aanand L. Rai|     Stars:Kangana Ranaut, Madhavan, Jimmy Shergill, Deepak Dobriyal"
144,Holiday,-2014,7.2,"Action, Crime, Thriller",160 min,"29,112","    Director:A.R. Murugadoss|     Stars:Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghavan"
145,An Action Hero,-2022,7,"Action, Comedy, Crime",130 min,"29,103","    Director:Anirudh Iyer|     Stars:Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav, Gautam Joglekar"
146,Baazigar,-1993,7.6,"Crime, Drama, Musical",175 min,"28,989","    Directors:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla|     Stars:Shah Rukh Khan, Kajol, Dalip Tahil, Rakhee Gulzar"
147,Runway 34,-2022,7,"Drama, Thriller",145 min,"28,938","    Director:Ajay Devgn|     Stars:Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, CarryMinati"
148,Zero,(III) (2018),5.2,"Comedy, Drama, Romance",164 min,"28,909","    Director:Aanand L. Rai|     Stars:Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub"
149,Dhoom:2,-2006,6.5,"Action, Crime, Thriller",152 min,"28,197","    Director:Sanjay Gadhvi|     Stars:Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra"
150,Haseen Dillruba,-2021,6.9,"Crime, Drama, Mystery",135 min,"28,188","    Director:Vinil Mathew|     Stars:Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastav"
151,Kaabil,-2017,7.1,"Action, Crime, Drama",139 min,"27,965","    Director:Sanjay Gupta|     Stars:Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy"
152,Secret Superstar,-2017,7.8,"Drama, Music",150 min,"27,713","    Director:Advait Chandan|     Stars:Zaira Wasim, Meher Vij, Raj Arjun, Aamir Khan"
153,Chehre,-2021,6.2,"Drama, Mystery, Thriller",139 min,"27,639","    Director:Rumi Jaffery|     Stars:Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Annu Kapoor"
154,Jaane Tu... Ya Jaane Na,-2008,7.4,"Comedy, Drama, Romance",155 min,"27,497","    Director:Abbas Tyrewala|     Stars:Imran Khan, Genelia D'Souza, Manjari Fadnnis, Ayaz Khan"
155,Rustom,-2016,7,"Crime, Drama, Thriller",148 min,"27,484","    Director:Tinu Suresh Desai|     Stars:Akshay Kumar, Ileana D'Cruz, Arjan Bajwa, Esha Gupta"
156,Chhapaak,-2020,5.4,"Biography, Drama",120 min,"27,375","    Director:Meghna Gulzar|     Stars:Deepika Padukone, Vikrant Massey, Madhurjeet Sarghi, Payal Nair"
157,Kapoor & Sons,-2016,7.7,"Comedy, Drama, Family",132 min,"27,283","    Director:Shakun Batra|     Stars:Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah, Fawad Khan"
158,Padman,-2018,7.9,"Comedy, Drama",140 min,"27,203","    Director:R. Balki|     Stars:Akshay Kumar, Radhika Apte, Sonam Kapoor, Jyoti Subhash"
159,Atrangi Re,-2021,6.4,"Comedy, Drama, Fantasy",138 min,"27,027","    Director:Aanand L. Rai|     Stars:Dhanush, Sara Ali Khan, Akshay Kumar, Seema Biswas"
160,Bhoot Police,-2021,6.9,"Comedy, Horror",129 min,"26,967","    Director:Pavan Kirpalani|     Stars:Saif Ali Khan, Arjun Kapoor, Jacqueline Fernandez, Yami Gautam"
161,Heropanti 2,-2022,2.5,"Action, Comedy, Crime",145 min,"26,965","    Director:Ahmed Khan|     Stars:Tiger Shroff, Nawazuddin Siddiqui, Tara Sutaria, Amber Doig-Thorne"
162,Bodyguard,(I) (2011),4.7,"Action, Comedy, Drama",130 min,"26,844","    Director:Siddique|     Stars:Salman Khan, Kareena Kapoor, Raj Babbar, Hazel Keech"
163,2 States,-2014,6.9,"Comedy, Drama, Romance",149 min,"26,439","    Director:Abhishek Varman|     Stars:Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathi"
164,Sarfarosh,-1999,8.1,"Action, Drama, Thriller",174 min,"26,201","    Director:John Mathew Matthan|     Stars:Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi"
165,Jolly LLB 2,-2017,7.2,"Comedy, Crime, Drama",137 min,"26,199","    Director:Subhash Kapoor|     Stars:Akshay Kumar, Huma Qureshi, Saurabh Shukla, Annu Kapoor"
166,Thappad,-2020,7,Drama,142 min,"26,171","    Director:Anubhav Sinha|     Stars:Taapsee Pannu, Pavail Gulati, Kumud Mishra, Ratna Pathak Shah"
167,Monsoon Wedding,-2001,7.3,"Comedy, Drama, Romance",114 min,"26,158","    Director:Mira Nair|     Stars:Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vijay Raaz"
168,Raksha Bandhan,-2022,5.2,"Comedy, Drama, Family",108 min,"25,834","    Director:Aanand L. Rai|     Stars:Akshay Kumar, Bhumi Pednekar, Sadia Khateeb, Manu Rishi Chadha"
169,Gabbar Is Back,-2015,7.1,"Action, Crime, Drama",128 min,"25,744","    Director:Radha Krishna Jagarlamudi|     Stars:Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman"
170,Phir Hera Pheri,-2006,7.2,"Comedy, Crime",153 min,"25,710","    Director:Neeraj Vora|     Stars:Akshay Kumar, Suniel Shetty, Paresh Rawal, Bipasha Basu"
171,2,-2018,6.1,"Action, Sci-Fi, Thriller",148 min,"25,629","    Director:S. Shankar|     Stars:Rajinikanth, Akshay Kumar, Amy Jackson, Adil Hussain"
172,Koi... Mil Gaya,-2003,7.1,"Action, Drama, Romance",171 min,"25,591","    Director:Rakesh Roshan|     Stars:Hrithik Roshan, Rekha, Preity G Zinta, Rakesh Roshan"
173,Agneepath,-2012,6.9,"Action, Crime, Drama",174 min,"25,492","    Director:Karan Malhotra|     Stars:Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt, Rishi Kapoor"
174,Jhund,-2022,7.4,"Biography, Drama, Sport",176 min,"25,377","    Director:Nagraj Manjule|     Stars:Amitabh Bachchan, Ankush Gedam, Babu Kshatriya, Jerico Robert"
175,Wanted,(I) (2009),6.6,"Action, Crime, Thriller",147 min,"25,046","    Director:Prabhu Deva|     Stars:Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna"
176,Bang Bang,(I) (2014),5.6,"Action, Adventure, Comedy",153 min,"25,033","    Director:Siddharth Anand|     Stars:Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa"
177,Madras Cafe,-2013,7.6,"Action, Drama, Thriller",130 min,"24,954","    Director:Shoojit Sircar|     Stars:John Abraham, Raashi Khanna, Nargis Fakhri, Prakash Belawadi"
178,Badlapur,-2015,7.4,"Action, Crime, Drama",134 min,"24,765","    Directors:Sriram Raghavan, Mehmet Tutkun|     Stars:Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam, Huma Qureshi"
179,Parmanu: The Story of Pokhran,-2018,7.6,"Action, Drama, History",129 min,"24,709","    Director:Abhishek Sharma|     Stars:John Abraham, Boman Irani, Diana Penty, Anuja Sathe"
180,Bhuj: The Pride of India,-2021,4.2,"Action, Drama, History",113 min,"24,696","    Director:Abhishek Dudhaiya|     Stars:Ajay Devgn, Sanjay Dutt, Sonakshi Sinha, Sharad Kelkar"
181,Bareilly Ki Barfi,-2017,7.5,"Comedy, Romance",116 min,"24,567","    Director:Ashwiny Iyer Tiwari|     Stars:Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi"
182,Darr,-1993,7.6,"Action, Drama, Romance",178 min,"24,520","    Director:Yash Chopra|     Stars:Juhi Chawla, Sunny Deol, Shah Rukh Khan, Anupam Kher"
183,Khosla Ka Ghosla!,-2006,8.3,"Comedy, Crime, Drama",135 min,"24,386","    Directors:Dibakar Banerjee, Pravin E. Birje|     Stars:Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma"
184,Guru,-2007,7.7,Drama,162 min,"24,380","    Director:Mani Ratnam|     Stars:Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan, Madhavan"
185,Ae Dil Hai Mushkil,-2016,5.8,"Drama, Music, Musical",158 min,"24,379","    Director:Karan Johar|     Stars:Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan"
186,A Thursday,-2022,7.7,"Drama, Thriller",128 min,"24,296","    Director:Behzad Khambata|     Stars:Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia"
187,Lakshya,-2004,7.8,"Action, Drama, Romance",186 min,"24,180","    Director:Farhan Akhtar|     Stars:Hrithik Roshan, Preity G Zinta, Amitabh Bachchan, Om Puri"
188,Krrish 3,-2013,5.3,"Action, Adventure, Sci-Fi",152 min,"24,112","    Director:Rakesh Roshan|     Stars:Hrithik Roshan, Vivek Oberoi, Priyanka Chopra Jonas, Kangana Ranaut"
189,Welcome,(I) (2007),7,"Comedy, Crime, Drama",159 min,"23,823","    Director:Anees Bazmee|     Stars:Akshay Kumar, Katrina Kaif, Nana Patekar, Anil Kapoor"
190,Detective Byomkesh Bakshy!,-2015,7.6,"Action, Crime, Drama",139 min,"23,772","    Director:Dibakar Banerjee|     Stars:Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi, Divya Menon"
191,Jo Jeeta Wohi Sikandar,-1992,8.1,"Comedy, Drama, Romance",174 min,"23,730","    Director:Mansoor Khan|     Stars:Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi"
192,Gaslight,(I) (2023),7.4,"Crime, Mystery, Thriller",111 min,"23,601","    Director:Pavan Kirpalani|     Stars:Sara Ali Khan, Vikrant Massey, Chitrangda Singh, Rahul Dev"
193,Sonu Ke Titu Ki Sweety,-2018,7.1,"Comedy, Romance",138 min,"23,478","    Director:Luv Ranjan|     Stars:Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh, Alok Nath"
194,Dil To Pagal Hai,-1997,7,"Comedy, Drama, Musical",180 min,"23,320","    Director:Yash Chopra|     Stars:Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor, Akshay Kumar"
195,Neerja,-2016,7.6,"Biography, Drama, Thriller",122 min,"23,204","    Director:Ram Madhvani|     Stars:Sonam Kapoor, Shabana Azmi, Yogendra Tikku, Abrar Zahoor"
196,Bellbottom,-2021,6.1,"Action, Thriller",123 min,"23,149","    Director:Ranjit Tewari|     Stars:Akshay Kumar, Huma Qureshi, Vaani Kapoor, Lara Dutta"
197,Rowdy Rathore,-2012,5.8,"Action, Comedy, Crime",140 min,"23,137","    Director:Prabhu Deva|     Stars:Akshay Kumar, Sonakshi Sinha, Nassar, Yashpal Sharma"
198,Chup,-2022,7.6,"Crime, Mystery, Romance",135 min,"23,037","    Director:R. Balki|     Stars:Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt"
199,Prem Ratan Dhan Payo,-2015,4.4,"Action, Drama, Musical",164 min,"22,817","    Director:Sooraj R. Barjatya|     Stars:Salman Khan, Sonam Kapoor, Abhinay Raj Singh, Neil Nitin Mukesh"
200,Cirkus,-2022,4.8,"Comedy, Drama",112 min,"22,756","    Director:Rohit Shetty|     Stars:Ranveer Singh, Varun Sharma, Pooja Hegde, Jacqueline Fernandez"
201,Shiddat,-2021,7.6,Romance,146 min,"22,705","    Director:Kunal Deshmukh|     Stars:Sunny Kaushal, Radhika Madan, Mohit Raina, Diana Penty"
202,Krrish,-2006,6.4,"Action, Adventure, Sci-Fi",185 min,"22,562","    Director:Rakesh Roshan|     Stars:Hrithik Roshan, Priyanka Chopra Jonas, Rekha, Naseeruddin Shah"
203,Ugly,-2013,7.9,"Crime, Drama, Mystery",128 min,"22,518","    Director:Anurag Kashyap|     Stars:Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh"
204,Rock On!!,-2008,7.7,"Drama, Music",145 min,"22,512","    Director:Abhishek Kapoor|     Stars:Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli"
205,Namastey London,-2007,7.1,"Comedy, Drama, Romance",128 min,"22,404","    Director:Vipul Amrutlal Shah|     Stars:Akshay Kumar, Katrina Kaif, Rishi Kapoor, Clive Standen"
206,Toilet - Ek Prem Katha,-2017,7.1,"Comedy, Drama, Romance",155 min,"22,286","    Director:Shree Narayan Singh|     Stars:Akshay Kumar, Anupam Kher, Bhumi Pednekar, Rajesh Sharma"
207,Anek,-2022,6.5,"Action, Drama, Sport",147 min,"22,150","    Director:Anubhav Sinha|     Stars:Ayushmann Khurrana, Andrea Kevichüsa, Manoj Pahwa, Kumud Mishra"
208,Pyaar Ka Punchnama,-2011,7.6,"Comedy, Drama, Romance",149 min,"22,149","    Director:Luv Ranjan|     Stars:Kartik Aaryan, Ashish Chhipa, Raayo S. Bakhirta, Divyendu Sharma"
209,Hum Aapke Hain Koun..!,-1994,7.5,"Comedy, Drama, Musical",206 min,"21,833","    Director:Sooraj R. Barjatya|     Stars:Madhuri Dixit, Salman Khan, Mohnish Behl, Renuka Shahane"
210,Jab Harry Met Sejal,-2017,5.1,"Comedy, Drama, Romance",143 min,"21,673","    Director:Imtiaz Ali|     Stars:Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Bruce Huther"
211,Cuttputlli,-2022,5.8,"Crime, Drama, Mystery",120 min,"21,616","    Director:Ranjit Tewari|     Stars:Akshay Kumar, Rakul Preet Singh, Sargun Mehta, Chandrachur Singh"
212,Ek Villain,-2014,6.5,"Action, Crime, Drama",129 min,"21,531","    Director:Mohit Suri|     Stars:Sidharth Malhotra, Shraddha Kapoor, Riteish Deshmukh, Shaad Randhawa"
213,Goliyon Ki Rasleela Ram-Leela,-2013,6.4,"Drama, Musical, Romance",150 min,"21,437","    Director:Sanjay Leela Bhansali|     Stars:Ranveer Singh, Deepika Padukone, Supriya Pathak, Sharad Kelkar"
214,Black Friday,-2004,8.4,"Action, Crime, Drama",143 min,"21,413","    Director:Anurag Kashyap|     Stars:Kay Kay Menon, Pawan Malhotra, Aditya Srivastav, Dibyendu Bhattacharya"
215,Thugs of Hindostan,-2018,4,"Action, Adventure",164 min,"21,389","    Director:Vijay Krishna Acharya|     Stars:Aamir Khan, Amitabh Bachchan, Katrina Kaif, Lloyd Owen"
216,Dhoom,-2004,6.6,"Action, Crime, Drama",129 min,"21,381","    Director:Sanjay Gadhvi|     Stars:Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol"
217,Student of the Year 2,-2019,2.1,"Action, Comedy, Drama",146 min,"21,380","    Director:Punit Malhotra|     Stars:Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal"
218,Kesari,-2019,7.4,"Action, Drama, History",150 min,"21,372","    Director:Anurag Singh|     Stars:Akshay Kumar, Parineeti Chopra, Suvinder Vicky, Vansh Bhardwaj"
219,Simmba,-2018,5.5,"Action, Crime, Drama",158 min,"21,337","    Director:Rohit Shetty|     Stars:Ranveer Singh, Sara Ali Khan, Sonu Sood, Ashutosh Rana"
220,Mulk,(I) (2018),7.2,Drama,140 min,"21,328","    Director:Anubhav Sinha|     Stars:Taapsee Pannu, Rishi Kapoor, Ashutosh Rana, Rajat Kapoor"
221,Omkara,-2006,8.1,"Action, Crime, Drama",155 min,"21,269","    Director:Vishal Bhardwaj|     Stars:Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma"
222,Rocket Singh: Salesman of the Year,-2009,7.5,"Comedy, Drama",150 min,"21,137","    Director:Shimit Amin|     Stars:Ranbir Kapoor, Prem Chopra, Mukesh S. Bhatt, D. Santosh"
223,Khuda Haafiz,-2020,7.1,"Action, Crime, Drama",133 min,"21,125","    Director:Faruk Kabir|     Stars:Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor, Aahana Kumra"
224,Good Newwz,-2019,6.8,"Comedy, Drama",134 min,"21,112","    Directors:Raj Mehta, Kulwinder Singh, Ranjeet Singh|     Stars:Ahmad Harhash, Akshay Kumar, Kareena Kapoor, Diljit Dosanjh"
225,Tubelight,-2017,3.9,"Drama, War",136 min,"21,056","    Director:Kabir Khan|     Stars:Salman Khan, Sohail Khan, Om Puri, Mohd. Zeeshan Ayyub"
226,Kabhi Alvida Naa Kehna,-2006,6,"Drama, Romance",193 min,"20,774","    Director:Karan Johar|     Stars:Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan, Abhishek Bachchan"
227,Newton,-2017,7.6,"Comedy, Drama",106 min,"20,650","    Director:Amit Masurkar|     Stars:Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghuvir Yadav"
228,Jolly LLB,-2013,7.5,"Comedy, Crime, Drama",135 min,"20,588","    Director:Subhash Kapoor|     Stars:Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla"
229,Dum Laga Ke Haisha,-2015,7.5,"Comedy, Drama, Romance",109 min,"20,429","    Director:Sharat Katariya|     Stars:Ayushmann Khurrana, Bhumi Pednekar, Sanjay Mishra, Sheeba Chaddha"
230,Dobaaraa,-2022,4.6,"Drama, Fantasy, Mystery",132 min,"20,366","    Director:Anurag Kashyap|     Stars:Taapsee Pannu, Pavail Gulati, Nassar, Saswata Chatterjee"
231,Jai Ho,-2014,5,"Action, Drama",135 min,"20,184","    Director:Sohail Khan|     Stars:Salman Khan, Abhinay Raj Singh, Daisy Shah, Tabu"
232,Tere Naam,-2003,7.2,"Action, Drama, Romance",132 min,"19,937","    Director:Satish Kaushik|     Stars:Salman Khan, Bhoomika Chawla, Sachin Khedekar, Savita Prabhune"
233,Badhaai Do,-2022,7,"Comedy, Crime, Drama",147 min,"19,721","    Director:Harshavardhan Kulkarni|     Stars:Rajkummar Rao, Bhumi Pednekar, Chum Darang, Sheeba Chaddha"
234,Dabangg 3,-2019,3,"Action, Comedy, Crime",160 min,"19,576","    Director:Prabhu Deva|     Stars:Salman Khan, Sudeep, Sonakshi Sinha, Saiee Manjrekar"
235,Chhalaang,-2020,6.7,"Comedy, Drama, Sport",136 min,"19,565","    Director:Hansal Mehta|     Stars:Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub, Saurabh Shukla"
236,Darlings,(I) (2022),6.5,"Comedy, Drama, Thriller",133 min,"19,545","    Director:Jasmeet K Reen|     Stars:Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew"
237,Manjhi: The Mountain Man,-2015,8,"Biography, Drama",120 min,"19,528","    Director:Ketan Mehta|     Stars:Nawazuddin Siddiqui, Abhinay Raj Singh, Radhika Apte, Ashutosh Acharya"
238,Gol Maal,-1979,8.5,"Comedy, Romance",144 min,"19,499","    Director:Hrishikesh Mukherjee|     Stars:Amol Palekar, Bindiya Goswami, Deven Verma, Shobha Khote"
239,Wazir,(I) (2016),7.1,"Action, Crime, Drama",103 min,"19,470","    Director:Bejoy Nambiar|     Stars:Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham"
240,Dabangg 2,-2012,4.8,"Action, Comedy, Crime",120 min,"19,235","    Director:Arbaaz Khan|     Stars:Salman Khan, Sonakshi Sinha, Prakash Raj, Vinod Khanna"
241,Baadshah,-1999,6.8,"Action, Comedy, Crime",175 min,"19,195","    Directors:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla|     Stars:Shah Rukh Khan, Twinkle Khanna, Amrish Puri, Johny Lever"
242,Guzaarish,-2010,7.4,"Drama, Romance",126 min,"19,173","    Director:Sanjay Leela Bhansali|     Stars:Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor"
243,Hum Dil De Chuke Sanam,-1999,7.4,"Comedy, Drama, Musical",188 min,"19,152","    Director:Sanjay Leela Bhansali|     Stars:Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal"
244,Student of the Year,-2012,5.2,"Comedy, Drama, Music",146 min,"19,005","    Director:Karan Johar|     Stars:Alia Bhatt, Sidharth Malhotra, Varun Dhawan, Rishi Kapoor"
245,Mrs. Serial Killer,-2020,4.1,"Crime, Drama, Thriller",106 min,"18,920","    Director:Shirish Kunder|     Stars:Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan"
246,Ready,-2011,4.8,"Action, Comedy, Romance",145 min,"18,919","    Director:Anees Bazmee|     Stars:Salman Khan, Asin Thottumkal, Paresh Rawal, Mahesh Manjrekar"
247,Kabhi Haan Kabhi Naa,-1994,7.6,"Comedy, Drama, Music",158 min,"18,848","    Director:Kundan Shah|     Stars:Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori, Rita Bhaduri"
248,Vikram Vedha,-2022,7.1,"Action, Crime, Drama",160 min,"18,842","    Directors:Gayatri, Pushkar|     Stars:Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf"
